article_title,entity,entity_type
Samsung Confirms Tesla AI5 Production at New Texas Facility - Not a Tesla App,New Texas Facility,ORG
Tesla reportedly pushes Panasonic to speed up US battery production - Teslarati,Panasonic,ORG
Tesla reportedly pushes Panasonic to speed up US battery production - Teslarati,Panasonic,ORG
"How Tesla, Costco and Paramount are Shifting Supply Chains - Supply Chain Digital Magazine",Paramount,ORG
"How Tesla, Costco and Paramount are Shifting Supply Chains - Supply Chain Digital Magazine",Paramount,ORG
What Tesla brand loyalty tells us about the EV market - S&P Global,S&P,ORG
Elon Musk's Tesla Signs $16.5 Billion Chip Supply Agreement with Samsung for Autonomous Driving and AI Chips - Logistics Viewpoints,Samsung,ORG
Elon Musk's Tesla Signs $16.5 Billion Chip Supply Agreement with Samsung for Autonomous Driving and AI Chips - Logistics Viewpoints,Samsung,ORG
Research Insights: Win-win alliance between Tesla and Samsung strengthens chip and foundry ambitions - digitimes,Samsung,ORG
Research Insights: Win-win alliance between Tesla and Samsung strengthens chip and foundry ambitions - digitimes,Samsung,ORG
Ready for a Greener Future? DHL Chooses Tesla Semi for Sustainable Logistics in California - DC Velocity,Sustainable Logistics,ORG
"Report shows progress towards even cleaner EV supply chains, Tesla leads - Electrek",Tesla,ORG
"Report shows progress towards even cleaner EV supply chains, Tesla leads - Electrek",Tesla,ORG
Tesla's vertical integration and efficiency show why they're the leader in EVs - Not a Tesla App,Tesla,ORG
Tesla's vertical integration and efficiency show why they're the leader in EVs - Not a Tesla App,Tesla,ORG
"Forget about X, AI and robots—Tesla is quietly building a complete EV battery supply chain - Charged EVs",Tesla,ORG
"Forget about X, AI and robots—Tesla is quietly building a complete EV battery supply chain - Charged EVs",Tesla,ORG
Tesla’s 4680 battery supply chain collapses as partner writes down deal by 99% - Electrek,Tesla,ORG
Tesla’s 4680 battery supply chain collapses as partner writes down deal by 99% - Electrek,Tesla,ORG
"Tesla says it values China suppliers, does not exclude any by origin - Reuters",Tesla,ORG
Tesla's robotics ambitions rest on the knife-edge of US-China trade relations due to its supply chain — the majority of critical materials and suppliers are located in China - Tom's Hardware,Tesla,ORG
Tesla's robotics ambitions rest on the knife-edge of US-China trade relations due to its supply chain — the majority of critical materials and suppliers are located in China - Tom's Hardware,Tesla,ORG
Tesla and GM try and shake off Chinese parts from supply chain - ArenaEV - ArenaEV,Tesla,ORG
Tesla executive teases plan to further electrify supply chain - Teslarati,Tesla,ORG
"Ford, Mercedes, Tesla, Volvo, and Volkswagen have the most sustainable supply chains for electric vehicles - firstonline.info",Tesla,ORG
"Ford, Mercedes, Tesla, Volvo, and Volkswagen have the most sustainable supply chains for electric vehicles - firstonline.info",Tesla,ORG
Tesla is quietly trying to build US cars with zero China-made parts - TechSpot,Tesla,ORG
Tesla’s China Shipments Rise in June for First Time in 2025 - Supply Chain Brain,Tesla,ORG
Tesla’s China Shipments Rise in June for First Time in 2025 - Supply Chain Brain,Tesla,ORG
Tesla's Impact Report: Can Musk Conquer Scope 3 Emissions? - Supply Chain Digital Magazine,Tesla,ORG
Tesla's Impact Report: Can Musk Conquer Scope 3 Emissions? - Supply Chain Digital Magazine,Tesla,ORG
Research Insights: Win-win alliance between Tesla and Samsung strengthens chip and foundry ambitions - digitimes,Tesla,ORG
Research Insights: Win-win alliance between Tesla and Samsung strengthens chip and foundry ambitions - digitimes,Tesla,ORG
What are Tesla's Procurement Targets for Renewables? - Procurement Magazine,Tesla,ORG
What are Tesla's Procurement Targets for Renewables? - Procurement Magazine,Tesla,ORG
Ex–Stellantis CEO says Tesla may exit the car industry and may not exist in 10 years - Fortune,Tesla,ORG
Ex–Stellantis CEO says Tesla may exit the car industry and may not exist in 10 years - Fortune,Tesla,ORG
"Suppliers’ country of origin doesn’t constitute exclusion criterion, Tesla exec says, after report of firm excluding China-made components - Global Times",Tesla,ORG
"Suppliers’ country of origin doesn’t constitute exclusion criterion, Tesla exec says, after report of firm excluding China-made components - Global Times",Tesla,ORG
What Tesla brand loyalty tells us about the EV market - S&P Global,Tesla,ORG
What Tesla brand loyalty tells us about the EV market - S&P Global,Tesla,ORG
"Ford, Mercedes, Tesla, Volvo, and Volkswagen have the most sustainable supply chains for electric vehicles - firstonline.info",Volkswagen,ORG
"Ford, Mercedes, Tesla, Volvo, and Volkswagen have the most sustainable supply chains for electric vehicles - firstonline.info",Volkswagen,ORG
"Ford, Mercedes, Tesla, Volvo, and Volkswagen have the most sustainable supply chains for electric vehicles - firstonline.info",Volvo,ORG
"Ford, Mercedes, Tesla, Volvo, and Volkswagen have the most sustainable supply chains for electric vehicles - firstonline.info",Volvo,ORG
Tesla's robotics ambitions rest on the knife-edge of US-China trade relations due to its supply chain — the majority of critical materials and suppliers are located in China - Tom's Hardware,Hardware,PRODUCT
